132
Listing(address='5531 Arbor Chase Dr, Ann Arbor, MI 48103', price='$2,250/mo', beds=2, bath=2.5, area=1520)
Listing(address='1785 Northbrook Dr, Ann Arbor, MI 48103', price='$2,675/mo', beds=2, bath=2.0, area=988)
Listing(address='1977 Harley Ct, Ann Arbor, MI 48103', price='$3,200/mo', beds=3, bath=2.5, area=2450)
Listing(address='2835 Marshall St, Ann Arbor, MI 48108', price='$2,590/mo', beds=3, bath=2.0, area=1688)
Listing(address='1700 Tudor Dr #1702, Ann Arbor, MI 48103', price='$1,750/mo', beds=2, bath=1.0, area=1000)
Listing(address='3723 Crystal Dr, Ann Arbor, MI 48108', price='$3,995/mo', beds=4, bath=2.5, area=2563)
Listing(address='4313 Pratt Rd, Ann Arbor, MI 48103', price='$2,600/mo', beds=3, bath=1.0, area=1479)
Listing(address='1308 Wright St, Ann Arbor, MI 48105', price='$3,000/mo', beds=3, bath=2.0, area=1120)
Listing(address='2434 Oakdale Dr, Ann Arbor, MI 48108', price='$3,800/mo', beds=4, bath=3.5, area=1864)
Listing(address='1491 Scio Ridge Ct, Ann Arbor, MI 48103', price='$3,250/mo', beds=5, bath=3.0, area=2200)
Listing(address='415 Barber Ave, Ann Arbor, MI 48103', price='$2,650/mo', beds=4, bath=2.0, area=None)
Listing(address='2931 E Joy Rd, Ann Arbor, MI 48105', price='$3,300/mo', beds=3, bath=2.5, area=2522)
Listing(address='2504 Sequoia Pkwy, Ann Arbor, MI 48103', price='$2,900/mo', beds=3, bath=2.5, area=None)
Listing(address='807 Lawrence St, Ann Arbor, MI 48104', price='$3,000/mo', beds=2, bath=1.0, area=None)
Listing(address='604 Cressfield La, Ann Arbor, MI 48103', price='$2,500/mo', beds=3, bath=1.0, area=1056)
Listing(address='605 Snyder Ave, Ann Arbor, MI 48103', price='$1,700/mo', beds=2, bath=1.0, area=None)
Listing(address='3303 Oakwood St, Ann Arbor, MI 48104', price='$2,200/mo', beds=3, bath=1.0, area=949)
Listing(address='2804 Canterbury Rd, Ann Arbor, MI 48104', price='$4,195/mo', beds=3, bath=1.0, area=1150)
Listing(address='388 Rolling Meadow Dr, Ann Arbor, MI 48103', price='$2,566/mo', beds=2, bath=3.0, area=2040)
Listing(address='2801 Dillon Dr, Ann Arbor, MI 48105', price='$4,950/mo', beds=5, bath=5.0, area=2900)
Listing(address='2846 Verle Ave, Ann Arbor, MI 48108', price='$2,600/mo', beds=3, bath=1.5, area=1271)
Listing(address='2931 S Madrono Ct, Ann Arbor, MI 48103', price='$3,000/mo', beds=4, bath=2.5, area=1836)
Listing(address='1650 Northbrook Dr, Ann Arbor, MI 48103', price='$2,300/mo', beds=3, bath=1.5, area=1600)
Listing(address='635 Duane Ct, Ann Arbor, MI 48103', price='$3,495/mo', beds=4, bath=2.5, area=None)
Listing(address='1100 Pauline Blvd, Ann Arbor, MI 48103', price='$2,700/mo', beds=3, bath=2.0, area=1498)
Listing(address='4750 W Ellsworth Rd, Ann Arbor, MI 48103', price='$2,799/mo', beds=3, bath=2.5, area=1792)
Listing(address='1001 W Washington St, Ann Arbor, MI 48103', price='$2,800/mo', beds=3, bath=1.0, area=994)
Listing(address='346 E Kingsley St, Ann Arbor, MI 48104', price='$6,200/mo', beds=6, bath=3.0, area=2064)
Listing(address='423 High St, Ann Arbor, MI 48104', price='$6,600/mo', beds=6, bath=2.0, area=1624)
Listing(address='3105 Turnberry La, Ann Arbor, MI 48108', price='$2,900/mo', beds=4, bath=2.5, area=1900)
Listing(address='2859 Chaseway Dr, Ann Arbor, MI 48105', price='$3,600/mo', beds=4, bath=3.0, area=2153)
Listing(address='2811 Rathmore Ln, Ann Arbor, MI 48105', price='$4,100/mo', beds=4, bath=4.0, area=2800)
Listing(address='892 Rose Dr, Ann Arbor, MI 48103', price='$2,950/mo', beds=3, bath=1.0, area=1388)
Listing(address='1314 Sheehan Ave, Ann Arbor, MI 48104', price='$4,000/mo', beds=4, bath=2.0, area=1412)
Listing(address='910 Evelyn Ct, Ann Arbor, MI 48103', price='$2,800/mo', beds=2, bath=1.0, area=1000)
Listing(address='1630 Hartford St, Ann Arbor, MI 48103', price='$2,800/mo', beds=3, bath=2.0, area=1375)
Listing(address='56 E Morgan Rd, Ann Arbor, MI 48108', price='$1,450/mo', beds=2, bath=1.0, area=852)
Listing(address='422 W Stadium Blvd, Ann Arbor, MI 48103', price='$6,000/mo', beds=3, bath=2.5, area=1200)
Listing(address='210 Bucholz Ct, Ann Arbor, MI 48103', price='$2,800/mo', beds=3, bath=2.0, area=1078)
Listing(address='3664 Highlander Way E, Ann Arbor, MI 48108', price='$3,500/mo', beds=6, bath=4.0, area=3800)
Listing(address='526 6th St, Ann Arbor, MI 48103', price='$4,200/mo', beds=4, bath=2.5, area=1882)
Listing(address='2770 Barclay Way, Ann Arbor, MI 48105', price='$1,950/mo', beds=2, bath=2.5, area=1148)
Listing(address='3031 Rosefield Dr, Ann Arbor, MI 48108', price='$2,500/mo', beds=3, bath=2.5, area=1955)
Listing(address='1812 Fair St, Ann Arbor, MI 48103', price='$2,595/mo', beds=3, bath=2.0, area=1200)
Listing(address='2680 Foster Ave, Ann Arbor, MI 48108', price='$2,895/mo', beds=4, bath=1.5, area=2000)
Listing(address='2827 Canterbury Rd, Ann Arbor, MI 48104', price='$1,950/mo', beds=3, bath=1.0, area=990)
Listing(address='1393 Harpst St, Ann Arbor, MI 48104', price='$4,250/mo', beds=3, bath=2.0, area=None)
Listing(address='213 W Mosley St, Ann Arbor, MI 48103', price='$1,575/mo', beds=1, bath=1.0, area=520)
Listing(address='4921 Miller Rd, Ann Arbor, MI 48103', price='$2,000/mo', beds=2, bath=1.0, area=946)
Listing(address='621 Susan Dr, Ann Arbor, MI 48103', price='$3,995/mo', beds=4, bath=2.0, area=None)
Listing(address='2880 E Eisenhower Pkwy, Ann Arbor, MI 48108', price='$2,800/mo', beds=4, bath=1.5, area=1807)
Listing(address='2700 Cook Creek Dr, Ann Arbor, MI 48103', price='$2,999/mo', beds=4, bath=2.5, area=None)
Listing(address='1554 Jones Dr, Ann Arbor, MI 48105', price='$950/mo', beds=1, bath=0.0, area=None)
Listing(address='213 E Kingsley St, Ann Arbor, MI 48104', price='$2,420/mo', beds=1, bath=1.0, area=None)
Listing(address='1610 South Blvd, Ann Arbor, MI 48104', price='$2,400/mo', beds=3, bath=2.0, area=1000)
Listing(address='1929 Harley Dr, Ann Arbor, MI 48103', price='$3,500/mo', beds=4, bath=3.5, area=2500)
Listing(address='3238 Platt Rd, Ann Arbor, MI 48108', price='$2,400/mo', beds=3, bath=2.0, area=1488)
Listing(address='3026 N Spurway Dr, Ann Arbor, MI 48105', price='$4,800/mo', beds=3, bath=3.5, area=3700)
Listing(address='942 Woodlawn Ave, Ann Arbor, MI 48104', price='$4,550/mo', beds=4, bath=2.0, area=None)
Listing(address='606 W Summit St, Ann Arbor, MI 48103', price='$2,080/mo', beds=2, bath=1.0, area=827)
Listing(address='3201 Kilburn Park Cir, Ann Arbor, MI 48105', price='$2,895/mo', beds=3, bath=2.5, area=None)
Listing(address='906 Lincoln Ave BUILDING 2, Ann Arbor, MI 48104', price='$6,000/mo', beds=4, bath=4.5, area=None)
Listing(address='917 Brooks St, Ann Arbor, MI 48103', price='$2,200/mo', beds=2, bath=1.0, area=1100)
Listing(address='2852 W Waters Rd, Ann Arbor, MI 48103', price='$3,200/mo', beds=4, bath=1.5, area=None)
Listing(address='121 Hill St, Ann Arbor, MI 48104', price='$7,500/mo', beds=6, bath=2.0, area=None)
Listing(address='1322 S Forest Ave, Ann Arbor, MI 48104', price='$1,300/mo', beds=0, bath=1.0, area=None)
Listing(address='1905 Anderson Ave, Ann Arbor, MI 48104', price='$1,995/mo', beds=2, bath=1.0, area=1000)
Listing(address='816 McKinley Ave, Ann Arbor, MI 48104', price='$6,000/mo', beds=6, bath=1.0, area=None)
Listing(address='502 Elm St, Ann Arbor, MI 48104', price='$7,500/mo', beds=6, bath=2.0, area=None)
Listing(address='309 E Madison St, Ann Arbor, MI', price='$5,875+/mo', beds=0, bath=1.0, area=None)
Listing(address='5974 Versailles Ave, Ann Arbor, MI 48103', price='$3,500/mo', beds=3, bath=3.5, area=2024)
Listing(address='505 Benjamin St, Ann Arbor, MI 48104', price='$5,700/mo', beds=0, bath=1.0, area=None)
Listing(address='311 E Madison St, Ann Arbor, MI', price='$1,500+/mo', beds=1, bath=1.0, area=None)
